Timestamp,Value,Type
18:20:40.290,"70\r\n",received
18:20:40.290,"71\r\n",received
18:20:40.290,"73\r\n",received
18:20:40.290,"76\r\n",received
18:20:40.290,"75\r\n",received
18:20:40.290,"68\r\n",received
18:20:40.290,"64\r\n",received
18:20:40.290,"65\r\n",received
18:20:40.290,"71\r\n",received
18:20:40.290,"76\r\n",received
18:20:40.290,"82\r\n",received
18:20:40.309,"84\r\n",received
18:20:40.309,"86\r\n",received
18:20:40.309,"88\r\n",received
18:20:40.309,"92\r\n",received
18:20:40.309,"94\r\n",received
18:20:40.309,"90\r\n",received
18:20:40.309,"88\r\n",received
18:20:40.309,"88\r\n",received
18:20:40.309,"87\r\n",received
18:20:40.309,"84\r\n",received
18:20:40.309,"82\r\n",received
18:20:40.309,"78\r\n",received
18:20:40.309,"74\r\n",received
18:20:40.309,"71\r\n",received
18:20:40.309,"72\r\n",received
18:20:40.309,"73\r\n",received
18:20:40.309,"76\r\n",received
18:20:40.309,"76\r\n",received
18:20:40.309,"78\r\n",received
18:20:40.309,"84\r\n",received
18:20:40.309,"86\r\n",received
18:20:40.309,"80\r\n",received
18:20:40.309,"72\r\n",received
18:20:40.309,"69\r\n",received
18:20:40.309,"72\r\n",received
18:20:40.309,"74\r\n",received
18:20:40.309,"72\r\n",received
18:20:40.309,"69\r\n",received
18:20:40.309,"66\r\n",received
18:20:40.309,"65\r\n",received
18:20:40.309,"62\r\n",received
18:20:40.309,"60\r\n",received
18:20:40.325,"60\r\n",received
18:20:40.325,"63\r\n",received
18:20:40.325,"66\r\n",received
18:20:40.325,"65\r\n",received
18:20:40.325,"63\r\n",received
18:20:40.325,"63\r\n",received
18:20:40.325,"62\r\n",received
18:20:40.325,"63\r\n",received
18:20:40.325,"62\r\n",received
18:20:40.325,"65\r\n",received
18:20:40.325,"72\r\n",received
18:20:40.325,"77\r\n",received
18:20:40.325,"85\r\n",received
18:20:40.325,"87\r\n",received
18:20:40.325,"87\r\n",received
18:20:40.325,"82\r\n",received
18:20:40.325,"82\r\n",received
18:20:40.325,"81\r\n",received
18:20:40.325,"76\r\n",received
18:20:40.325,"74\r\n",received
18:20:40.325,"74\r\n",received
18:20:40.325,"69\r\n",received
18:20:40.325,"60\r\n",received
18:20:40.325,"57\r\n",received
18:20:40.325,"51\r\n",received
18:20:40.325,"44\r\n",received
18:20:40.325,"40\r\n",received
18:20:40.325,"38\r\n",received
18:20:40.325,"33\r\n",received
18:20:40.325,"24\r\n",received
18:20:40.325,"14\r\n",received
18:20:40.325,"11\r\n",received
18:20:40.325,"11\r\n",received
18:20:40.325,"6\r\n",received
18:20:40.325,"7\r\n",received
18:20:40.325,"11\r\n",received
18:20:40.325,"18\r\n",received
18:20:40.325,"19\r\n",received
18:20:40.325,"19\r\n",received
18:20:40.325,"16\r\n",received
18:20:40.325,"14\r\n",received
18:20:40.325,"13\r\n",received
18:20:40.325,"14\r\n",received
18:20:40.325,"15\r\n",received
18:20:40.325,"12\r\n",received
18:20:40.325,"8\r\n",received
18:20:40.325,"7\r\n",received
18:20:40.325,"14\r\n",received
18:20:40.325,"20\r\n",received
18:20:40.325,"21\r\n",received
18:20:40.325,"18\r\n",received
18:20:40.325,"14\r\n",received
18:20:40.325,"8\r\n",received
18:20:40.325,"2\r\n",received
18:20:40.325,"-4\r\n",received
18:20:40.325,"-7\r\n",received
18:20:40.325,"-82\r\n",received
18:20:40.325,"-80\r\n",received
18:20:40.325,"-82\r\n",received
18:20:40.325,"-87\r\n",received
18:20:40.325,"-92\r\n",received
18:20:40.325,"-92\r\n",received
18:20:40.325,"-92\r\n",received
18:20:40.325,"-92\r\n",received
18:20:40.325,"-91\r\n",received
18:20:40.325,"-83\r\n",received
18:20:40.325,"-76\r\n",received
18:20:40.325,"-69\r\n",received
18:20:40.325,"-68\r\n",received
18:20:40.325,"-69\r\n",received
18:20:40.335,"-72\r\n",received
